fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-19T02:40:39Z,70:ee:50:b5:10:18,44.708653,-73.020244,-5.9,62,1012.1,,,,,,
2026-02-19T02:40:39Z,70:ee:50:84:7f:00,44.83374,-72.59283,-5.2,61,1008.5,,,,,,
2026-02-19T02:40:39Z,70:ee:50:13:6c:30,44.939432,-72.626538,-7.5,80,1005.3,,,,,,
2026-02-19T02:40:39Z,70:ee:50:13:84:08,44.974119,-72.651164,-7,81,1014,,,,,,
2026-02-19T02:40:39Z,70:ee:50:71:3b:a2,45.022137,-72.79827,-5.7,70,1010,0,0,1,141,3,147
2026-02-19T02:40:39Z,70:ee:50:12:5b:38,45.032926,-73.027474,-4.5,68,1012.8,,,,,,
2026-02-19T02:40:39Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,-1,62,1011.6,,,,,,
2026-02-19T02:40:39Z,70:ee:50:71:52:d4,44.300539,-72.58766,-5.5,69,1012.5,0,0.101,,,,
2026-02-19T02:40:39Z,70:ee:50:3f:6b:74,44.301497,-72.584812,-4.8,66,1011.5,,,,,,
2026-02-19T02:40:39Z,70:ee:50:71:61:34,44.387109,-72.96381,-4.5,69,1012.1,0,0.101,,,,
2026-02-19T02:40:39Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,-5.6,70,1007.8,,,,,,
2026-02-19T02:40:39Z,70:ee:50:64:fb:60,44.44159,-72.98776,-5,70,1008.2,0,0,,,,
2026-02-19T02:40:39Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,-5.5,73,1007.8,,,,,,
2026-02-19T02:40:39Z,70:ee:50:84:5c:52,44.437529,-72.659034,-5.3,63,1008.9,0,0,,,,
2026-02-19T02:40:39Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,-6.3,71,1012.4,,,4,359,6,359
2026-02-19T02:40:39Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,-3.8,52,1012.2,,,,,,
2026-02-19T02:40:39Z,70:ee:50:6b:87:0c,44.502233,-72.969099,1.9,48,1021.3,,,,,,
2026-02-19T02:40:39Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,-6.1,68,1013,0,0,,,,
2026-02-19T02:40:39Z,70:ee:50:13:6c:62,44.595425,-72.835776,-6.5,74,1007,0,0.30300000000000005,1,90,4,82
2026-02-19T02:40:39Z,70:ee:50:20:d7:16,44.678234,-72.710889,-7.1,71,1008.9,0,0,,,,
2026-02-19T02:40:39Z,70:ee:50:65:14:ce,44.699931,-73.565654,-6.9,83,1013.3,0,0,1,359,3,359
2026-02-19T02:40:39Z,70:ee:50:71:41:0e,44.699477,-73.381887,-5.3,68,1013.2,,,,,,
2026-02-19T02:40:39Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,-4.9,77,1009.3,,,,,,
2026-02-19T02:40:39Z,70:ee:50:03:67:38,44.416844,-73.183993,-4.7,64,1014.3,,,,,,
2026-02-19T02:40:39Z,70:ee:50:03:9a:38,44.4829,-73.2253,-6.3,73,990.6,0,0,4,12,8,27
2026-02-19T02:40:39Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,-5,69,1008.8,,,,,,
