fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-19T18:40:50Z,70:ee:50:b5:10:18,44.708653,-73.020244,7.8,45,1015.8,,,,,,
2026-02-19T18:40:50Z,70:ee:50:84:7f:00,44.83374,-72.59283,5,38,1012.7,,,,,,
2026-02-19T18:40:50Z,70:ee:50:13:6c:30,44.939432,-72.626538,4.4,51,1008.6,,,,,,
2026-02-19T18:40:50Z,70:ee:50:13:84:08,44.974119,-72.651164,8.1,50,1018.1,,,,,,
2026-02-19T18:40:50Z,70:ee:50:71:3b:a2,45.022137,-72.79827,-0.4,69,1013.9,0,0,2,116,4,90
2026-02-19T18:40:50Z,70:ee:50:12:5b:38,45.032926,-73.027474,-0.2,66,1016.5,,,,,,
2026-02-19T18:40:50Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,-1.4,66,1015.6,,,,,,
2026-02-19T18:40:50Z,70:ee:50:71:52:d4,44.300539,-72.58766,3,47,1016.4,0.7070000000000001,0.909,,,,
2026-02-19T18:40:50Z,70:ee:50:3f:6b:74,44.301497,-72.584812,2.5,53,1015.5,,,,,,
2026-02-19T18:40:50Z,70:ee:50:71:61:34,44.387109,-72.96381,3.1,52,1015.7,0,0.101,,,,
2026-02-19T18:40:50Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,1,61,1012.4,,,,,,
2026-02-19T18:40:50Z,70:ee:50:64:fb:60,44.44159,-72.98776,3.1,56,1012,0,0,,,,
2026-02-19T18:40:50Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,3.6,49,1011.1,,,,,,
2026-02-19T18:40:50Z,70:ee:50:84:5c:52,44.437529,-72.659034,2.8,46,1013.1,0,0,,,,
2026-02-19T18:40:50Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,1.2,55,1016.1,,,1,90,2,-1
2026-02-19T18:40:50Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,7.4,31,1016,,,,,,
2026-02-19T18:40:50Z,70:ee:50:6b:87:0c,44.502233,-72.969099,33.8,23,1025.1,,,,,,
2026-02-19T18:40:50Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,3.9,44,1016.3,0,0,,,,
2026-02-19T18:40:50Z,70:ee:50:13:6c:62,44.595425,-72.835776,5.5,51,1011.3,0.101,0.101,1,53,2,37
2026-02-19T18:40:50Z,70:ee:50:20:d7:16,44.678234,-72.710889,2.1,54,1013.1,0,0,,,,
2026-02-19T18:40:50Z,70:ee:50:65:14:ce,44.699931,-73.565654,3.3,55,1016.3,0,0,5,102,12,90
2026-02-19T18:40:50Z,70:ee:50:71:41:0e,44.699477,-73.381887,0.1,65,1016.7,,,,,,
2026-02-19T18:40:50Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,2.6,72,1013.2,,,,,,
2026-02-19T18:40:50Z,70:ee:50:03:67:38,44.416844,-73.183993,5.3,59,1018.1,,,,,,
2026-02-19T18:40:50Z,70:ee:50:03:9a:38,44.4829,-73.2253,3.3,56,993.5,0,0,5,-1,11,359
2026-02-19T18:40:50Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,3.3,50,1012.5,,,,,,
