fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-16T14:40:18Z,70:ee:50:b5:10:18,44.708653,-73.020244,-0.9,57,1018.5,,,,,,
2026-02-16T14:40:18Z,70:ee:50:84:7f:00,44.83374,-72.59283,-1.1,43,1015.6,,,,,,
2026-02-16T14:40:18Z,70:ee:50:13:6c:30,44.939432,-72.626538,-1.5,55,1012.2,,,,,,
2026-02-16T14:40:18Z,70:ee:50:71:3b:a2,45.022137,-72.79827,-2.4,58,1016,0,0,3,116,5,65
2026-02-16T14:40:18Z,70:ee:50:12:5b:38,45.032926,-73.027474,-2.1,65,1017.9,,,,,,
2026-02-16T14:40:18Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,-2.6,63,1017.3,,,,,,
2026-02-16T14:40:18Z,70:ee:50:71:52:d4,44.300539,-72.58766,-2.3,69,1020.8,0,0,,,,
2026-02-16T14:40:18Z,70:ee:50:3f:6b:74,44.301497,-72.584812,-4.2,73,1019.8,,,,,,
2026-02-16T14:40:18Z,70:ee:50:71:61:34,44.387109,-72.96381,-1.5,55,1019.1,0,0,,,,
2026-02-16T14:40:18Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,-2.2,61,1016.4,,,,,,
2026-02-16T14:40:18Z,70:ee:50:64:fb:60,44.44159,-72.98776,0.1,62,1015,0,0,,,,
2026-02-16T14:40:18Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,-2.9,65,1015.8,,,,,,
2026-02-16T14:40:18Z,70:ee:50:84:5c:52,44.437529,-72.659034,-2.4,47,1016.4,0,0,,,,
2026-02-16T14:40:18Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,0.2,51,1018.8,,,2,246,6,214
2026-02-16T14:40:18Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,-1.9,35,1020,,,,,,
2026-02-16T14:40:18Z,70:ee:50:6b:87:0c,44.502233,-72.969099,2,43,1028.1,,,,,,
2026-02-16T14:40:18Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,-2.4,54,1020.3,0,0,,,,
2026-02-16T14:40:18Z,70:ee:50:13:6c:62,44.595425,-72.835776,-1.8,72,1014.1,0,0,1,48,2,52
2026-02-16T14:40:18Z,70:ee:50:20:d7:16,44.678234,-72.710889,-1.4,48,1016.1,0,0,,,,
2026-02-16T14:40:18Z,70:ee:50:65:14:ce,44.699931,-73.565654,-3.5,70,1018.7,0,0,1,270,4,270
2026-02-16T14:40:18Z,70:ee:50:71:41:0e,44.699477,-73.381887,-2.5,70,1018.9,,,,,,
2026-02-16T14:40:18Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,0.2,49,1015.7,,,,,,
2026-02-16T14:40:18Z,70:ee:50:03:67:38,44.416844,-73.183993,-0.5,62,1020.9,,,,,,
2026-02-16T14:40:18Z,70:ee:50:03:9a:38,44.4829,-73.2253,-1.6,52,997.3,0,0,6,90,16,119
2026-02-16T14:40:18Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,1.2,48,1014.8,,,,,,
