fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-21T08:40:44Z,70:ee:50:b5:10:18,44.708653,-73.020244,-1,80,1004.9,,,,,,
2026-02-21T08:40:44Z,70:ee:50:84:7f:00,44.83374,-72.59283,-0.1,79,1001.7,,,,,,
2026-02-21T08:40:44Z,70:ee:50:13:6c:30,44.939432,-72.626538,-1.8,87,997.3,,,,,,
2026-02-21T08:40:44Z,70:ee:50:13:84:08,44.974119,-72.651164,-2.2,94,1006.9,,,,,,
2026-02-21T08:40:44Z,70:ee:50:71:3b:a2,45.022137,-72.79827,-1.2,90,1002.6,0,0,3,80,7,64
2026-02-21T08:40:44Z,70:ee:50:12:5b:38,45.032926,-73.027474,-1.2,85,1005.5,,,,,,
2026-02-21T08:40:44Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,0.8,68,1004.2,,,,,,
2026-02-21T08:40:44Z,70:ee:50:71:52:d4,44.300539,-72.58766,-1.3,94,1005.6,0,0,,,,
2026-02-21T08:40:44Z,70:ee:50:3f:6b:74,44.301497,-72.584812,-1.8,86,1004.5,,,,,,
2026-02-21T08:40:44Z,70:ee:50:71:61:34,44.387109,-72.96381,-0.7,95,1004.8,0,0,,,,
2026-02-21T08:40:44Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,-1.3,92,1001.5,,,,,,
2026-02-21T08:40:44Z,70:ee:50:64:fb:60,44.44159,-72.98776,-0.7,98,1001.1,0,0,,,,
2026-02-21T08:40:44Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,-1.5,98,1000.8,,,,,,
2026-02-21T08:40:44Z,70:ee:50:84:5c:52,44.437529,-72.659034,-1.4,87,1002.3,0,0,,,,
2026-02-21T08:40:44Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,-0.4,96,1004.7,,,2,-1,4,359
2026-02-21T08:40:44Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,-1.1,82,1005.1,,,,,,
2026-02-21T08:40:44Z,70:ee:50:6b:87:0c,44.502233,-72.969099,2.8,52,1013.8,,,,,,
2026-02-21T08:40:44Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,-1.9,88,1005.7,0,0,,,,
2026-02-21T08:40:44Z,70:ee:50:13:6c:62,44.595425,-72.835776,-1.6,95,1000.1,0,0,1,135,2,165
2026-02-21T08:40:44Z,70:ee:50:20:d7:16,44.678234,-72.710889,-1.2,85,1001.9,0,0,,,,
2026-02-21T08:40:44Z,70:ee:50:65:14:ce,44.699931,-73.565654,-2.3,100,1005.4,0,0,3,90,4,90
2026-02-21T08:40:44Z,70:ee:50:71:41:0e,44.699477,-73.381887,-2.7,92,1005.5,,,,,,
2026-02-21T08:40:44Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,-0.2,94,1001.8,,,,,,
2026-02-21T08:40:44Z,70:ee:50:03:67:38,44.416844,-73.183993,0.5,83,1006.9,,,,,,
2026-02-21T08:40:44Z,70:ee:50:03:9a:38,44.4829,-73.2253,-0.9,90,983.2,0,0,3,59,12,122
2026-02-21T08:40:44Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,0.5,93,1001.6,,,,,,
