fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-17T20:20:17Z,70:ee:50:b5:10:18,44.708653,-73.020244,2.6,74,1013.7,,,,,,
2026-02-17T20:20:17Z,70:ee:50:84:7f:00,44.83374,-72.59283,3.6,73,1010.3,,,,,,
2026-02-17T20:20:17Z,70:ee:50:13:6c:30,44.939432,-72.626538,2,83,1006,,,,,,
2026-02-17T20:20:17Z,70:ee:50:13:84:08,44.974119,-72.651164,1.4,88,1014.9,,,,,,
2026-02-17T20:20:17Z,70:ee:50:71:3b:a2,45.022137,-72.79827,1.9,86,1010.8,0,0,2,122,4,90
2026-02-17T20:20:17Z,70:ee:50:12:5b:38,45.032926,-73.027474,3.3,79,1012.7,,,,,,
2026-02-17T20:20:17Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,1.7,69,1012.4,,,,,,
2026-02-17T20:20:17Z,70:ee:50:71:52:d4,44.300539,-72.58766,4.2,74,1014.5,0.202,0.202,,,,
2026-02-17T20:20:17Z,70:ee:50:3f:6b:74,44.301497,-72.584812,3.3,74,1013.4,,,,,,
2026-02-17T20:20:17Z,70:ee:50:71:61:34,44.387109,-72.96381,2.5,77,1014,0,0,,,,
2026-02-17T20:20:17Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,3.3,78,1010,,,,,,
2026-02-17T20:20:17Z,70:ee:50:64:fb:60,44.44159,-72.98776,3.7,82,1010.1,0,0,,,,
2026-02-17T20:20:17Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,2.9,83,1009.9,,,,,,
2026-02-17T20:20:17Z,70:ee:50:84:5c:52,44.437529,-72.659034,2.1,76,1011.2,0,0,,,,
2026-02-17T20:20:17Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,4.1,79,1013.8,,,2,17,4,32
2026-02-17T20:20:17Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,2.3,65,1014.4,,,,,,
2026-02-17T20:20:17Z,70:ee:50:6b:87:0c,44.502233,-72.969099,7.8,46,1023,,,,,,
2026-02-17T20:20:17Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,2.2,75,1014.8,0,0,,,,
2026-02-17T20:20:17Z,70:ee:50:13:6c:62,44.595425,-72.835776,2.1,87,1009.6,0.404,0.808,2,120,3,103
2026-02-17T20:20:17Z,70:ee:50:20:d7:16,44.678234,-72.710889,2.2,76,1011,0,0,,,,
2026-02-17T20:20:17Z,70:ee:50:65:14:ce,44.699931,-73.565654,3.4,85,1013.5,0,0.404,1,90,4,101
2026-02-17T20:20:17Z,70:ee:50:71:41:0e,44.699477,-73.381887,2.7,83,1013.7,,,,,,
2026-02-17T20:20:17Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,3.3,84,1010.9,,,,,,
2026-02-17T20:20:17Z,70:ee:50:03:67:38,44.416844,-73.183993,3.9,75,1016.2,,,,,,
2026-02-17T20:20:17Z,70:ee:50:03:9a:38,44.4829,-73.2253,2.7,77,992.1,0,0,4,48,12,38
2026-02-17T20:20:17Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,3.2,80,1009.9,,,,,,
