fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-17T19:20:19Z,70:ee:50:b5:10:18,44.708653,-73.020244,2.5,74,1013.8,,,,,,
2026-02-17T19:20:19Z,70:ee:50:84:7f:00,44.83374,-72.59283,3.6,71,1010.7,,,,,,
2026-02-17T19:20:19Z,70:ee:50:13:6c:30,44.939432,-72.626538,2.2,82,1006.4,,,,,,
2026-02-17T19:20:19Z,70:ee:50:13:84:08,44.974119,-72.651164,1.4,87,1015.4,,,,,,
2026-02-17T19:20:19Z,70:ee:50:71:3b:a2,45.022137,-72.79827,1.9,86,1011.4,0,0,1,90,4,80
2026-02-17T19:20:19Z,70:ee:50:12:5b:38,45.032926,-73.027474,3.1,80,1013,,,,,,
2026-02-17T19:20:19Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,1.6,69,1013.1,,,,,,
2026-02-17T19:20:19Z,70:ee:50:71:52:d4,44.300539,-72.58766,4.1,74,1015.3,0,0,,,,
2026-02-17T19:20:19Z,70:ee:50:3f:6b:74,44.301497,-72.584812,2.6,75,1013.9,,,,,,
2026-02-17T19:20:19Z,70:ee:50:71:61:34,44.387109,-72.96381,2.1,78,1014,0,0,,,,
2026-02-17T19:20:19Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,3.1,78,1010.6,,,,,,
2026-02-17T19:20:19Z,70:ee:50:64:fb:60,44.44159,-72.98776,3.7,82,1010.1,0,0,,,,
2026-02-17T19:20:19Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,2.3,84,1010.4,,,,,,
2026-02-17T19:20:19Z,70:ee:50:84:5c:52,44.437529,-72.659034,1.6,77,1011.5,0,0,,,,
2026-02-17T19:20:19Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,4.6,78,1013.7,,,2,26,4,34
2026-02-17T19:20:19Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,2.1,65,1014.5,,,,,,
2026-02-17T19:20:19Z,70:ee:50:6b:87:0c,44.502233,-72.969099,7.8,46,1023,,,,,,
2026-02-17T19:20:19Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,1.9,75,1015.1,0,0,,,,
2026-02-17T19:20:19Z,70:ee:50:13:6c:62,44.595425,-72.835776,2.3,88,1009.6,0.30300000000000005,0.404,1,270,3,270
2026-02-17T19:20:19Z,70:ee:50:20:d7:16,44.678234,-72.710889,2.7,75,1011.4,0,0,,,,
2026-02-17T19:20:19Z,70:ee:50:65:14:ce,44.699931,-73.565654,3.3,85,1013.7,0,0.404,3,90,6,100
2026-02-17T19:20:19Z,70:ee:50:71:41:0e,44.699477,-73.381887,2.9,84,1013.8,,,,,,
2026-02-17T19:20:19Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,3.3,84,1010.9,,,,,,
2026-02-17T19:20:19Z,70:ee:50:03:67:38,44.416844,-73.183993,3.8,76,1016.1,,,,,,
2026-02-17T19:20:19Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,3.8,79,1010.3,,,,,,
