fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-20T07:00:20Z,70:ee:50:b5:10:18,44.708653,-73.020244,-5.9,66,1014,,,,,,
2026-02-20T07:00:20Z,70:ee:50:84:7f:00,44.83374,-72.59283,-2.9,59,1011.3,,,,,,
2026-02-20T07:00:20Z,70:ee:50:13:6c:30,44.939432,-72.626538,-5,72,1009,,,,,,
2026-02-20T07:00:20Z,70:ee:50:13:84:08,44.974119,-72.651164,-9.4,86,1016.6,,,,,,
2026-02-20T07:00:20Z,70:ee:50:71:3b:a2,45.022137,-72.79827,-3.5,68,1011.7,0,0,3,77,6,66
2026-02-20T07:00:20Z,70:ee:50:12:5b:38,45.032926,-73.027474,-6.7,75,1013.8,,,,,,
2026-02-20T07:00:20Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,-0.7,62,1013.2,,,,,,
2026-02-20T07:00:20Z,70:ee:50:71:52:d4,44.300539,-72.58766,-6.7,81,1015.7,0,0,,,,
2026-02-20T07:00:20Z,70:ee:50:3f:6b:74,44.301497,-72.584812,-7.1,76,1014.6,,,,,,
2026-02-20T07:00:20Z,70:ee:50:71:61:34,44.387109,-72.96381,-3.9,74,1014.3,0,0,,,,
2026-02-20T07:00:20Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,-8,83,1011.2,,,,,,
2026-02-20T07:00:20Z,70:ee:50:64:fb:60,44.44159,-72.98776,-6.1,83,1010.1,0,0,,,,
2026-02-20T07:00:20Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,-8.9,86,1010.5,,,,,,
2026-02-20T07:00:20Z,70:ee:50:84:5c:52,44.437529,-72.659034,-3.5,65,1011.7,0,0,,,,
2026-02-20T07:00:20Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,-6.7,85,1013.8,,,3,359,5,-1
2026-02-20T07:00:20Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,-5,63,1015,,,,,,
2026-02-20T07:00:20Z,70:ee:50:6b:87:0c,44.502233,-72.969099,0.5,47,1023,,,,,,
2026-02-20T07:00:20Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,-12.1,78,1015.7,0,0,,,,
2026-02-20T07:00:20Z,70:ee:50:13:6c:62,44.595425,-72.835776,-3.7,72,1009.4,0,0,2,140,3,145
2026-02-20T07:00:20Z,70:ee:50:20:d7:16,44.678234,-72.710889,-5.8,70,1011.3,,,,,,
2026-02-20T07:00:20Z,70:ee:50:65:14:ce,44.699931,-73.565654,-7.3,87,1014,0,0,1,270,4,259
2026-02-20T07:00:20Z,70:ee:50:71:41:0e,44.699477,-73.381887,-8.4,84,1014.1,,,,,,
2026-02-20T07:00:20Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,-3.3,77,1010.9,,,,,,
2026-02-20T07:00:20Z,70:ee:50:03:67:38,44.416844,-73.183993,-5.1,71,1016.2,,,,,,
2026-02-20T07:00:20Z,70:ee:50:03:9a:38,44.4829,-73.2253,-9.2,79,993.1,0,0,3,-1,7,25
2026-02-20T07:00:20Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,-6.5,80,1010.4,,,,,,
