fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-20T04:40:13Z,70:ee:50:b5:10:18,44.708653,-73.020244,-4.8,63,1014.8,,,,,,
2026-02-20T04:40:13Z,70:ee:50:84:7f:00,44.83374,-72.59283,-2.3,56,1012.1,,,,,,
2026-02-20T04:40:13Z,70:ee:50:13:6c:30,44.939432,-72.626538,-4.9,71,1009.8,,,,,,
2026-02-20T04:40:13Z,70:ee:50:13:84:08,44.974119,-72.651164,-8,83,1017.3,,,,,,
2026-02-20T04:40:13Z,70:ee:50:71:3b:a2,45.022137,-72.79827,-2.9,68,1012.5,0,0,3,73,9,60
2026-02-20T04:40:13Z,70:ee:50:12:5b:38,45.032926,-73.027474,-6.5,71,1015.1,,,,,,
2026-02-20T04:40:13Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,-0.3,63,1014.1,,,,,,
2026-02-20T04:40:13Z,70:ee:50:71:52:d4,44.300539,-72.58766,-8.2,84,1016.4,0,1.616,,,,
2026-02-20T04:40:13Z,70:ee:50:3f:6b:74,44.301497,-72.584812,-7.1,76,1015.3,,,,,,
2026-02-20T04:40:13Z,70:ee:50:71:61:34,44.387109,-72.96381,-3.9,74,1015.4,0,0.101,,,,
2026-02-20T04:40:13Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,-7.3,81,1012.1,,,,,,
2026-02-20T04:40:13Z,70:ee:50:64:fb:60,44.44159,-72.98776,-5.8,82,1011.2,0,0.101,,,,
2026-02-20T04:40:13Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,-7.2,83,1011.2,,,,,,
2026-02-20T04:40:13Z,70:ee:50:84:5c:52,44.437529,-72.659034,-2.9,62,1012.6,0,0,,,,
2026-02-20T04:40:13Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,-8.2,87,1015,,,3,259,5,359
2026-02-20T04:40:13Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,-3.7,60,1015.6,,,,,,
2026-02-20T04:40:13Z,70:ee:50:6b:87:0c,44.502233,-72.969099,0.8,48,1024.1,,,,,,
2026-02-20T04:40:13Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,-10.5,77,1016.3,0,0,,,,
2026-02-20T04:40:13Z,70:ee:50:13:6c:62,44.595425,-72.835776,-3,68,1010.4,0,0.7070000000000001,1,135,3,149
2026-02-20T04:40:13Z,70:ee:50:20:d7:16,44.678234,-72.710889,-4.9,66,1012.1,,,,,,
2026-02-20T04:40:13Z,70:ee:50:65:14:ce,44.699931,-73.565654,-8.2,94,1015,0,0,1,90,5,141
2026-02-20T04:40:13Z,70:ee:50:71:41:0e,44.699477,-73.381887,-6.7,79,1015.1,,,,,,
2026-02-20T04:40:13Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,-3.7,75,1011.9,,,,,,
2026-02-20T04:40:13Z,70:ee:50:03:67:38,44.416844,-73.183993,-5.3,68,1017.1,,,,,,
2026-02-20T04:40:13Z,70:ee:50:03:9a:38,44.4829,-73.2253,-7.6,76,993.7,0,0,4,-1,8,31
2026-02-20T04:40:13Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,-5.8,77,1011.3,,,,,,
