fetched_at,station_id,lat,lon,temperature,humidity,pressure,rain_60min,rain_24h,wind_strength,wind_angle,gust_strength,gust_angle
2026-02-20T19:41:10Z,70:ee:50:b5:10:18,44.708653,-73.020244,2.8,52,1004.8,,,,,,
2026-02-20T19:41:10Z,70:ee:50:84:7f:00,44.83374,-72.59283,4,39,1002.5,,,,,,
2026-02-20T19:41:10Z,70:ee:50:13:6c:30,44.939432,-72.626538,2,59,998.7,,,,,,
2026-02-20T19:41:10Z,70:ee:50:13:84:08,44.974119,-72.651164,0.3,70,1007.6,,,,,,
2026-02-20T19:41:10Z,70:ee:50:71:3b:a2,45.022137,-72.79827,2.1,59,1002.9,0,0,3,78,7,59
2026-02-20T19:41:10Z,70:ee:50:12:5b:38,45.032926,-73.027474,-1.3,73,1004.9,,,,,,
2026-02-20T19:41:10Z,70:ee:50:b4:e9:f2,45.0422147,-72.7919003,0.9,66,1004.4,,,,,,
2026-02-20T19:41:10Z,70:ee:50:71:52:d4,44.300539,-72.58766,4.3,49,1006.6,0.101,0.202,,,,
2026-02-20T19:41:10Z,70:ee:50:3f:6b:74,44.301497,-72.584812,3.5,53,1005.5,,,,,,
2026-02-20T19:41:10Z,70:ee:50:71:61:34,44.387109,-72.96381,3.2,54,1004.6,0.101,0.101,,,,
2026-02-20T19:41:10Z,70:ee:50:05:bc:8e,44.4106673887303,-72.7171471312828,3.7,55,1002.1,,,,,,
2026-02-20T19:41:10Z,70:ee:50:64:fb:60,44.44159,-72.98776,3.4,58,1000.8,0,0,,,,
2026-02-20T19:41:10Z,70:ee:50:20:ff:f2,44.4482039,-72.695229,3.1,62,1001.5,,,,,,
2026-02-20T19:41:10Z,70:ee:50:84:5c:52,44.437529,-72.659034,2.7,48,1003.4,0,0,,,,
2026-02-20T19:41:10Z,70:ee:50:ab:cb:e2,44.48615,-73.1129,3.3,64,1004.9,,,1,51,3,107
2026-02-20T19:41:10Z,70:ee:50:bc:d1:3a,44.486268,-72.703658,2.3,44,1006.2,,,,,,
2026-02-20T19:41:10Z,70:ee:50:6b:87:0c,44.502233,-72.969099,8.2,42,1013.8,,,,,,
2026-02-20T19:41:10Z,70:ee:50:b5:1d:5e,44.496351,-72.658282,3.1,57,1006.5,0,0,,,,
2026-02-20T19:41:10Z,70:ee:50:13:6c:62,44.595425,-72.835776,3.2,63,1000.2,0.101,0.202,1,-1,3,359
2026-02-20T19:41:10Z,70:ee:50:20:d7:16,44.678234,-72.710889,3,54,1002.5,,,,,,
2026-02-20T19:41:10Z,70:ee:50:65:14:ce,44.699931,-73.565654,1.1,67,1005.2,0,0,3,79,5,46
2026-02-20T19:41:10Z,70:ee:50:20:dd:0a,44.3559938601221,-73.2480588745869,0.3,78,1002.1,,,,,,
2026-02-20T19:41:10Z,70:ee:50:03:67:38,44.416844,-73.183993,1.4,69,1007.1,,,,,,
2026-02-20T19:41:10Z,70:ee:50:03:9a:38,44.4829,-73.2253,3.3,59,983.4,0,0,5,90,10,95
2026-02-20T19:41:10Z,70:ee:50:05:cc:50,44.5067555504334,-73.2538517285821,1.3,69,1001.5,,,,,,
